Book Id,Title,Author,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Date Read,Date Added,Bookshelves,My Review,Read Count
7741325,"Dash & Lily's Book of Dares (Dash & Lily, #1)",Rachel Cohn,0375866590,9780375866593,0,3.76,Knopf Books for Young Readers,Hardcover,260,2010,,10-10-20,to-read,,0
50855956,"Shine (Shine, #1)",Jessica Jung,1534462511,9781534462519,0,3.46,Simon Pulse,Hardcover,352,2020,,09-10-20,to-read,,0
52750982,Rebel: A Legend Novel,Marie Lu,1250620880,9781250620880,0,4.1,Square Fish,Paperback,400,2020,,01-10-20,to-read,,0
23742842,The Wonderful Things You Will Be,Emily Winfield Martin,0385376715,9780385376716,0,4.41,Random House Books for Young Readers,Hardcover,36,2015,,26-09-20,to-read,,0
53174067,"Skyhunter (Skyhunter, #1)",Marie Lu,1250221684,9781250221681,0,4.08,Roaring Brook Press,Hardcover,371,2020,,31-08-20,to-read,,0
11736995,"Where She Went (If I Stay, #2)",Gayle Forman,0142420891,9780142420898,4,4,Speak,Paperback,264,2012,08-08-20,05-08-20,holly-golightly,,1
40605223,I'm Thinking of Ending Things,Iain Reid,,,0,3.59,Gallery/Scout Press,Kindle Edition,241,2016,,08-08-20,to-read,,0
49127718,Anxious People,Fredrik Backman,198216963X,9781982169633,0,4.2,Atria Books,Hardcover,336,2020,,05-08-20,to-read,,0
227235,Seuss-isms  ,Dr. Seuss,0679883568,9780679883562,4,4.29,Random House Books for Young Readers,Hardcover,32,1997,01-08-20,01-08-20,holly-golightly,,1
41580312,Be Here Now,Ram Dass,,,0,4.3,HarperOne,Kindle Edition,116,2010,,29-07-20,to-read,,0
51037979,In an Instant,Suzanne Redfearn,,,0,4.36,Lake Union Publishing,Kindle Edition,326,2020,,24-07-20,to-read,,0
147865,"Love, Rosie",Cecelia Ahern,0786891084,9780786891085,5,3.94,Hachette Books,Paperback,512,2006,21-07-20,15-12-18,breakfast-at-tiffany-s,"My first review just has to go to this book. Absolutely brilliant! I loved everything about this book. The banter, the witty remarks, & everything in between. I'm so glad I read the book after watching the movie, because the movie did help me visualize the characters and their situations much better when compared to the book. I loved the writing style as I haven't read too many books whose character's stories are written through IMs, letters, Emails, etc. I found it quite charming and unique. I loved seeing the characters grow up through all their written messages. Ahern did a wonderful job captivating me with Love, Rosie. I'm looking forward to reading more of her work. :0)",1
37506437,"Darius the Great Is Not Okay (Darius The Great, #1)",Adib Khorram,0525552960,9780525552963,0,4.28,Dial Books,Hardcover,316,2018,,21-07-20,to-read,,0
48989372,A Very Punchable Face,Colin Jost,1101906324,9781101906323,0,4.22,Crown Publishing Group (NY),Hardcover,312,2020,,16-07-20,to-read,,0
50794839,"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,1338635174,9781338635171,0,3.82,Scholastic Press,Hardcover,528,2020,,08-07-20,to-read,,0
41880609,On Earth We're Briefly Gorgeous,Ocean Vuong,0525562028,9780525562023,0,4.05,Penguin Press,Hardcover,246,2019,,08-07-20,to-read,,0
52940153,Gimme Everything You Got,Iva-Marie Palmer,0062937251,9780062937254,0,4.01,Balzer + Bray,Hardcover,400,2020,,03-07-20,to-read,,0
45306303,You Say It First,Katie Cotugno,0062674145,9780062674142,0,3.46,Balzer + Bray,ebook,368,2020,,03-07-20,to-read,,0
6081261,What I Wish I Knew When I Was 20,Tina Seelig,0061735191,9780061735196,0,3.83,HarperOne,Hardcover,184,2009,,01-07-20,to-read,,0
50093704,In Five Years,Rebecca Serle,1982137444,9781982137441,0,3.82,Atria Books,Hardcover,255,2020,,01-06-20,to-read,,0
11367726,Defending Jacob,William Landay,0385344228,9780385344227,0,3.99,Delacorte Press,Hardcover,421,2012,,25-04-20,to-read,,0
12691,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,0739461192,9780739461198,4,4.13,William Morrow; 1ST edition,Hardcover,291,2005,19-04-20,10-03-20,mount-crumpit,,1
15994527,The Woman in White,Wilkie Collins,0141389435,9780141389431,0,4,Penguin Books,Paperback,702,2012,,09-04-20,to-read,,0
97642,No More Mr. Nice Guy,Robert A. Glover,0762415339,9780762415335,0,4.03,Running Press Adult,Hardcover,208,2003,,09-04-20,to-read,,0
181133,And Then There Were None,Agatha Christie,,,0,4.27,HarperCollins,Mass Market Paperback,250,2003,,09-04-20,to-read,,0
33152795,Invictus,Ryan Graudin,0316503134,9780316503136,0,3.85,"Little, Brown Books for Young Readers",ebook,464,2017,,09-03-20,to-read,,0
11501608,Flashpoint,Geoff Johns,1401233384,9781401233389,0,4.22,DC Comics,Paperback,176,2012,,29-02-20,to-read,,0
